dilatory;tending to delay, causing delay;(The general’s dilatory strategy enabled the enemy to regroup.)
diligent; showing care in doing one’s work;(The diligent researcher made sure to check her measurements multiple times.);
diminutive;small or miniature;(The bullies, tall and strong, picked on the diminutive child.)
dirge;a mournful song, especially for a funeral;(The bagpipers played a dirge as the casket was carried to the cemetery.)
disaffected;rebellious, resentful of authority;(Dismayed by Bobby’s poor behavior, the parents sent their disaffected son to a military academy to be disciplined.)
disavow;to deny knowledge of or responsibility for;(Not wanting others to criticize her, she disavowed any involvement in the company’s hiring scandal.)
discern;to perceive, detect;(Though he hid his emotions, she discerned from his body language that he was angry.)
disclose;to reveal, make public;(The CEO disclosed to the press that the company would have to fire several employees.)
discomfit;to thwart, baffle;(The normally cheery and playful children’s sudden misery discomfited the teacher.)
discordant;not agreeing, not in harmony with;(The girls’ sobs were a discordant sound amid the general laughter that filled the restaurant.)
discrepancy;difference, failure of things to correspond;(He was troubled by the discrepancy between what he remembered paying for the appliance and what his receipt showed he paid for it.)
discretion;the quality of being reserved in speech or action;good judgment
discursive;rambling, lacking order;(The professor’s discursive lectures seemed to be about every subject except the one initially described.)
disgruntled;upset, not content;(The child believed that his parents had unjustly grounded him, and remained disgruntled for a week.)
disheartened; feeling a loss of spirit or morale;(The team was disheartened after losing in the finals of the tournament.);
disparage; to criticize or speak ill of;(The saleswoman disparaged the competitor’s products to persuade her customers to buy what she was selling.);
disparate;sharply differing, containing sharply contrasting elements;(Having widely varying interests, the students had disparate responses toward the novel.)
dispatch; to send off to accomplish a duty;(The carpenter dispatched his assistant to fetch wood.);
dispel;to drive away, scatter;(She entered the office as usual on Monday, dispelling the rumor that she had been fired.)
disperse;to scatter, cause to scatter;(When the rain began to pour, the crowd at the baseball game quickly dispersed.)
disrepute; a state of being held in low regard;(The officer fell into disrepute after it was learned that he had disobeyed the orders he had given to his own soldiers.);
dissemble;to conceal, fake;(Not wanting to appear heartlessly greedy, she dissembled and hid her intention to sell her ailing father’s stamp collection.)
disseminate; to spread widely;(The politician disseminated his ideas across the town before the election.);
dissonance;lack of harmony or consistency;(Though the president of the company often spoke of the company as reliant solely upon its workers, her decision to increase her own salary rather than reward her employees revealed a striking dissonance between her alleged beliefs and her actions.)
dissuade;to persuade someone not to do something;(Worried that he would catch a cold, she tried to dissuade him from going out on winter nights.)
distend; to swell out;(Years of drinking beer caused his stomach to distend.);
dither;to be indecisive;(Not wanting to offend either friend, he dithered about which of the two birthday parties he should attend.)
divine;godly, exceedingly wonderful;(Terribly fond of desserts, she found the rich chocolate cake to be divine.)
divisive;causing dissent, discord;(Her divisive tactics turned her two friends against each other.)
divulge;to reveal something secret;(Pressured by the press, the government finally divulged the previously unknown information.)
docile; easily taught or trained;(She successfully taught the docile puppy several tricks.);
dogmatic; aggressively and arrogantly certain about unproved principles;(His dogmatic claim that men were better than women at fixing appliances angered everyone.);
dormant;sleeping, temporarily inactive;(Though she pretended everything was fine, her anger lay dormant throughout the dinner party and exploded in screams of rage after everyone had left.)
dour;stern, joyless;(The children feared their dour neighbor because the old man would take their toys if he believed they were being too loud.)
dubious;doubtful, of uncertain quality;(Suspicious that he was only trying to get a raise, she found his praise dubious.)
duplicity;crafty dishonesty;(His duplicity involved convincing his employees to let him lower their salaries and increase their stock options, and then to steal the money he saved and run the company into the ground.)
duress;hardship, threat;(It was only under intense duress that he, who was normally against killing, fired his gun.)
dynamic; actively changing;(The parents found it hard to keep up with the dynamic music scene with which their children had become very familiar.);
ebullient;extremely lively, enthusiastic;(She became ebullient upon receiving an acceptance letter from her first-choice college.)
eclectic;consisting of a diverse variety of elements;(That bar attracts an eclectic crowd: lawyers, artists, circus clowns, and investment bankers.)
ecstatic; intensely and overpoweringly happy;(The couple was ecstatic when they learned that they had won the lottery.);
edict;an order, decree;(The ruler issued an edict requiring all of his subjects to bow down before him.)
efface;to wipe out, obliterate, rub away;(The husband was so angry at his wife for leaving him that he effaced all evidence of her presence
effervescent;bubbly, lively;(My friend is so effervescent that she makes everyone smile.)
efficacious;effective;(My doctor promised me that the cold medicine was efficacious, but I’m still sniffling.)
effrontery;impudence, nerve, insolence;(When I told my aunt that she was boring, my mother scolded me for my effrontery.)
effulgent;radiant, splendorous;(The golden palace was effulgent.)
egregious; extremely bad;(The student who threw sloppy joes across the cafeteria was punished for his egregious behavior.);
elaborate;complex, detailed, intricate;(Dan always beats me at chess because he develops such an elaborate game plan that I can never predict his next move.)
elated;overjoyed, thrilled;(When she found out she had won the lottery, the writer was elated.)
elegy;a speech given in honor of a dead person;(At the funeral, the widow gave a moving elegy describing her love for her husband.)
elicit;to bring forth, draw out, evoke;(Although I asked several times where the exit was, I elicited no response from the stone-faced policeman.)
eloquent;expressive, articulate, moving;(The priest gave such an eloquent sermon that most churchgoers were crying.)
elucidate;to clarify, explain;(I didn’t understand why my friend was so angry with me, so I asked Janine to elucidate her feelings.)
elude;to evade, escape;(Despite an intense search, the robber continues to elude the police.)
emaciated;very thin, enfeebled looking;(My sister eats a lot of pastries and chocolate but still looks emaciated.)
embezzle;to steal money by falsifying records;(The accountant was fired for embezzling $10,000 of the company’s funds.)
emend;to correct or revise a written text;(If my sentence is incorrect, the editor will emend what I have written.)
emollient; soothing;(This emollient cream makes my skin very smooth.);
emote;to express emotion;(The director told the actor he had to emote, or else the audience would have no idea what his character was going through.)
empathy; sensitivity to another’s feelings as if they were one’s own;(I feel such empathy for my sister when she’s in pain that I cry too.);
emulate;to imitate;(I idolize Britney Spears so much that I emulate everything she does: I wear her outfits, sing along to her songs, and date a boy named Justin.)
enamor;to fill with love, fascinate, usually used in passive form followed by “of” or “with”;(I grew enamored of that boy when he quoted my favorite love poem.)
encumber;to weigh down, burden;(At the airport, my friend was encumbered by her luggage, so I offered to carry two of her bags.)
enervate;to weaken, exhaust;(Writing these sentences enervates me so much that I will have to take a nap after I finish.)
enfranchise; to grant the vote to;(The Nineteenth Amendment enfranchised women.);
engender;to bring about, create, generate;(During the Olympics, the victories of U.S. athletes engender a patriotic spirit among Americans.)
enigmatic;mystifying, cryptic;(That man wearing the dark suit and dark glasses is so enigmatic that no one even knows his name.)
encore;the audience’s demand for a repeat performance;also the artist’s performance in response to that demand
enmity;ill will, hatred, hostility;(Mark and Andy have clearly not forgiven each other, because the enmity between them is obvious to anyone in their presence.)
ennui;boredom, weariness;(I feel such ennui that I don’t look forward to anything, not even my birthday party.)
entail; to include as a necessary step;(Building a new fence entails tearing down the old one.);
enthrall;to charm, hold spellbound;(The sailor’s stories of fighting off sharks and finding ancient treasures enthralled his young son.)
ephemeral;short-lived, fleeting;(She promised she’d love me forever, but her “forever” was only ephemeral: she left me after one week.)
epistolary;relating to or contained in letters;(Some people call me “Auntie’s boy,” because my aunt and I have such a close epistolary relationship that we write each other every day.)
epitome;a perfect example, embodiment;(My mother, the epitome of good taste, always dresses more elegantly than I do.)
equanimity;composure;(Even though he had just been fired, Mr. Simms showed great equanimity by neatly packing up his desk and wishing everyone in the office well.)
equivocal;ambiguous, uncertain, undecided;(His intentions were so equivocal that I didn’t know whether he was being chivalrous or sleazy.)
erudite; learned;(My Latin teacher is such an erudite scholar that he has translated some of the most difficult and abstruse ancient poetry.);
eschew;to shun, avoid;(George hates the color green so much that he eschews all green food.)
esoteric; understood by only a select few;(Even the most advanced students cannot understand the physicist’s esoteric theories.);
espouse;to take up as a cause, support;(I love animals so much that I espouse animal rights.)
ethereal;heavenly, exceptionally delicate or refined;(In her flowing silk gown and lace veil, the bride looked ethereal.)
etymology;the history of words, their origin and development;(From the study of etymology, I know that the word “quixotic” derives from Don Quixote and the word “gaudy” refers to the Spanish architect Gaudí.)
euphoric;elated, uplifted;(I was euphoric when I found out that my sister had given birth to twins.)
evanescent;fleeting, momentary;(My joy at getting promoted was evanescent because I discovered that I would have to work much longer hours in a less friendly office.)
evince;to show, reveal;(Christopher’s hand-wringing and nail-biting evince how nervous he is about the upcoming English test.)
exacerbate;to make more violent, intense;(The gruesome and scary movie I saw last night exacerbated my fears of the dark.)
exalt;to glorify, praise;(Michael Jordan is the figure in basketball we exalt the most.)
exasperate;to irritate, irk;(George’s endless complaints exasperated his roomate.)
excavate; to dig out of the ground and remove;(The pharaoh’s treasures were excavated by archeologists in Egypt.);
exculpate;to free from guilt or blame, exonerate;(My discovery of the ring behind the dresser exculpated me from the charge of having stolen it.)
excursion;a trip or outing;(After taking an excursion to the Bronx Zoo, I dreamed about pandas and monkeys.)
execrable;loathsome, detestable;(Her pudding is so execrable that it makes me sick.)
exhort;to urge, prod, spur;(Henry exhorted his colleagues to join him in protesting against the university’s hiring policies.)
exonerate;to free from guilt or blame, exculpate;(The true thief’s confession exonerated the man who had been held in custody for the crime.)
exorbitant; excessive;(Her exorbitant praise made me blush and squirm in my seat.);
expedient;advisable, advantageous, serving one’s self-interest;(In his bid for reelection, the governor made an expedient move by tabling all controversial legislation.)
expiate;to make amends for, atone;(To expiate my selfishness, I gave all my profits to charity.)
exigent;urgent, critical;(The patient has an exigent need for medication, or else he will lose his sight.)
expunge;to obliterate, eradicate;(Fearful of an IRS investigation, Paul tried to expunge all incriminating evidence from his tax files.)
expurgate;to remove offensive or incorrect parts, usually of a book;(The history editors expurgated from the text all disparaging and inflammatory comments about the Republican Party.)
extant;existing, not destroyed or lost;(My mother’s extant love letters to my father are in the attic trunk.)
extol;to praise, revere;(Violet extolled the virtues of a vegetarian diet to her meatloving brother.)
extraneous;irrelevant, extra, not necessary;(Personal political ambitions should always remain extraneous to legislative policy, but, unfortunately, they rarely are.)
extricate;to disentangle;(Instead of trying to mediate between my brother and sister, I extricated myself from the family tension entirely and left the house for the day.)
exult;to rejoice;(When she found out she won the literature prize, Mary exulted by dancing and singing through the school’s halls.)
fabricate;to make up, invent;(When I arrived an hour late to class, I fabricated some excuse about my car breaking down on the way to school.)
fallacious;incorrect, misleading;(Emily offered me cigarettes on the fallacious assumption that I smoked.)
fastidious;meticulous, demanding, having high and often unattainable standards;(Mark is so fastidious that he is never able to finish a project because it always seems imperfect to him.)
fathom;to understand, comprehend;(I cannot fathom why you like that crabby and mean-spirited neighbor of ours.)
fatuous;silly, foolish;(He considers himself a serious poet, but in truth, he only writes fatuous limericks.)
fecund;fruitful, fertile;(The fecund tree bore enough apples to last us through the entire season.)
feral;wild, savage;(That beast looks so feral that I would fear being alone with it.)
fervent;ardent, passionate;(The fervent protestors chained themselves to the building and shouted all night long.)
fetid; having a foul odor;(I can tell from the fetid smell in your refrigerator that your milk has spoiled.);
fetter;to chain, restrain;(The dog was fettered to the parking meter.)
fickle;shifting in character, inconstant;(In Greek dramas, the fickle gods help Achilles one day, and then harm him the next.)
fidelity;loyalty, devotion;(Guard dogs are known for the great fidelity they show toward their masters.)
figurative;symbolic;(Using figurative language, Jane likened the storm to an angry bull.)
flabbergasted;astounded;(Whenever I read an Agatha Christie mystery novel, I am always flabbergasted when I learn the identity of the murderer.)
flagrant;offensive, egregious;(The judge’s decision to set the man free simply because that man was his brother was a flagrant abuse of power.)
florid;flowery, ornate;(The writer’s florid prose belongs on a sentimental Hallmark card.)
flout; to disregard or disobey openly;(I flouted the school’s dress code by wearing a tie-dyed tank top and a pair of cut-off jeans.);
foil;to thwart, frustrate, defeat;(Inspector Wilkens foiled the thieves by locking them in the bank along with their stolen money.)
flaccid;limp, not firm or strong;(If a plant is not watered enough, its leaves become droopy and flaccid.)
forage;to graze, rummage for food;(When we got lost on our hiking trip, we foraged for berries and nuts in order to survive.)
forbearance;patience, restraint, toleration;(The doctor showed great forbearance in calming down the angry patient who shouted insults at him.)
forestall;to prevent, thwart, delay;(I forestalled the cold I was getting by taking plenty of vitamin C pills and wearing a scarf.)
forlorn;lonely, abandoned, hopeless;(Even though I had the flu, my family decided to go skiing for the weekend and leave me home alone, feeling feverish and forlorn.)
forsake;to give up, renounce;(My New Year’s resolution is to forsake smoking and drinking.)
fortitude;strength, guts;(Achilles’ fortitude in battle is legendary.)
fortuitous;happening by chance, often lucky or fortunate;(After looking for Manuel and not finding him at home, Harriet had a fortuitous encounter with him at the post office.)
forum; a medium for lecture or discussion;(Some radio talk-shows provide a good forum for political debate.);
foster;to stimulate, promote, encourage;(To foster good health in the city, the mayor started a “Get out and exercise!” campaign.)
fractious;troublesome or irritable;(Although the child insisted he wasn’t tired, his fractious behavior—especially his decision to crush his cheese and crackers all over the floor—convinced everyone present that it was time to put him to bed.)
fraught;;(usually used with “with”) filled or accompanied with
frenetic;frenzied, hectic, frantic;(In the hours between night and morning, the frenetic pace of city life slows to a lull.)
frivolous;of little importance, trifling;(Someday, all that anxiety about whether your zit will disappear before the prom will seem totally frivolous.)
frugal;thrifty, economical;(Richard is so frugal that his diet consists almost exclusively of catfish and chicken liver—the two most inexpensive foods in the store.)
furtive;secretive, sly;(Jane’s placement of her drugs in her sock drawer was not as furtive as she thought, as the sock drawer is the first place most parents look.)
garish;gaudy, in bad taste;(Mrs. Watson has poor taste and covers every object in her house with a garish gold lamé.)
garrulous;talkative, wordy;(Some talk show hosts are so garrulous that their guests can’t get a word in edgewise.)
genial;friendly, affable;(Although he’s been known to behave like a real jerk, I would say that my brother is an overall genial guy.)
gluttony;overindulgence in food or drink;(Ada’s fried chicken tastes so divine, I don’t know how anyone can call gluttony a sin.)
goad;to urge, spur, incite to action;(Jim may think he’s not going to fight Billy, but Billy will goad Jim on with insults until he throws a punch.)
gourmand;someone fond of eating and drinking;(My parents, who used to eat little more than crackers and salad, have become real gourmands in their old age.)
grandiloquence;lofty, pompous language;(The student thought her grandiloquence would make her sound smart, but neither the class nor the teacher bought it.)
grandiose;on a magnificent or exaggerated scale;(Margaret planned a grandiose party, replete with elephants, trapeze artists, and clowns.)
gratuitous;uncalled for, unwarranted;(Every morning the guy at the donut shop gives me a gratuitous helping of ketchup packets.)
grievous;injurious, hurtful;serious or grave in nature
guile;deceitful, cunning, sly behavior;(Because of his great guile, the politician was able to survive scandal after scandal.)
hackneyed;unoriginal, trite;(A girl can only hear “I love you” so many times before it begins to sound hackneyed and meaningless.)
gregarious;drawn to the company of others, sociable;(Well, if you’re not gregarious, I don’t know why you would want to go to a singles party!)
hallowed;revered, consecrated;(In the hallowed corridors of the cathedral, the disturbed professor felt himself to be at peace.)
hapless;unlucky;(My poor, hapless family never seems to pick a sunny week to go on vacation.)
hardy;robust, capable of surviving through adverse conditions;(I too would have expected the plants to be dead by mid-November, but apparently they’re very hardy.)
harrowing;greatly distressing, vexing;(The car crash was a harrowing experience, but I have a feeling that the increase in my insurance premiums will be even more upsetting.)
haughty; disdainfully proud;(The superstar’s haughty dismissal of her costars will backfire on her someday.);
hedonist;one who believes pleasure should be the primary pursuit of humans;(Because he’s such a hedonist, I knew Murray would appreciate the 11 cases of wine I bought him for his birthday.)
hegemony; domination over others;(Britain’s hegemony over its colonies was threatened once nationalist sentiment began to spread around the world.);
heinous;shockingly wicked, repugnant;(The killings were made all the more heinous by the fact that the murderer first tortured his victims for three days.)
heterogeneous;varied, diverse in character;(I hate having only one flavor so I always buy the swirled, or should I say heterogeneous, type of ice cream.)
hiatus; a break or gap in duration or continuity;(The hiatus in service should last two or three months—until the cable lines are repaired .);
hierarchy;a system with ranked groups, usually according to social, economic, or professional class;(Women found it very difficult to break into the upper ranks of the department’s hierarchy.)
hypocrisy;pretending to believe what one does not;(Once the politician began passing legislation that contradicted his campaign promises, his hypocrisy became apparent.)
hypothetical;supposed or assumed true, but unproven;(Even though it has been celebrated by seven major newspapers, that the drug will be a success when tested in humans is still hypothetical.)
iconoclast;one who attacks common beliefs or institutions;(Jane goes to one protest after another, but she seems to be an iconoclast rather than an activist with a progressive agenda.)
idiosyncratic;peculiar to one person;highly individualized
idolatrous;excessively worshipping one object or person;(Xena’s idolatrous fawning over the band—following them on tour, starting their fan club, filming their documentary—is really beginning to get on my nerves.)
ignominious;humiliating, disgracing;(It was really ignominious to be kicked out of the dorm for having an illegal gas stove in my room.)
illicit;forbidden, not permitted;(The fourth-grader learned many illicit words from a pamphlet that was being passed around school.)
immerse;to absorb, deeply involve, engross;(After breaking up with her boyfriend, Nancy decided to immerse herself in her work in order to avoid crying.)
immutable; not changeable;(The laws of physics are immutable and constant.);
impassive;stoic, not susceptible to suffering;(Stop being so impassive
impecunious;poor;(“I fear he’s too impecunious to take me out tonight,” the bratty girl whined.)
imperious;commanding, domineering;(The imperious nature of your manner led me to dislike you at once.)
impeccable;exemplary, flawless;(If your grades were as impeccable as your sister’s, then you too would receive a car for a graduation present.)
impertinent;rude, insolent;(Most of your comments are so impertinent that I don’t wish to dignify them with an answer.)
impervious;impenetrable, incapable of being affected;(Because of their thick layer of fur, many seals are almost impervious to the cold.)
impetuous;rash;hastily done
implacable;incapable of being appeased or mitigated;(Watch out: once you shun Grandma’s cooking, she is totally implacable.)
implicate;to involve in an incriminating way, incriminate;(Even though Tom wasn’t present at the time of the shooting, he was implicated by the evidence suggesting that he had supplied the shooters with guns.)
implicit;understood but not outwardly obvious, implied;(I know Professor Smith didn’t actually say not to write from personal experience, but I think such a message was implicit in her instruction to use scholarly sources.)
impregnable;resistant to capture or penetration;(Though the invaders used battering rams, catapults, and rain dances, the fortress proved impregnable and resisted all attacks.)
impudent;casually rude, insolent, impertinent;(The impudent young man looked the princess up and down and told her she was hot even though she hadn’t asked him.)
impute;to ascribe, blame;(The CEO imputed the many typos in the letter to his lazy secretary.)
inane; silly and meaningless;(Some films are so inane that the psychology of the characters makes absolutely no sense.);
inarticulate;incapable of expressing oneself clearly through speech;(Though he spoke for over an hour, the lecturer was completely inarticulate and the students had no idea what he was talking about.)
incessant;unending;(We wanted to go outside and play, but the incessant rain kept us indoors for two days.)
inchoate;unformed or formless, in a beginning stage;(The country’s government is still inchoate and, because it has no great tradition, quite unstable.)
incisive;clear, sharp, direct;(The discussion wasn’t going anywhere until her incisive comment allowed everyone to see what the true issues were.)
inclination;a tendency, propensity;(Sarah has an inclination to see every foreign film she hears about, even when she’s sure that she won’t like it.)
incontrovertible; indisputable;(Only stubborn Tina would attempt to disprove the incontrovertible laws of physics.);
incorrigible;incapable of correction, delinquent;(You can buy Grandma nicotine gum all you want, but I think that after sixty-five years of smoking she’s incorrigible.)
increment;an enlargement;the process of increasing
indefatigable;incapable of defeat, failure, decay;(Even after traveling 62 miles, the indefatigable runner kept on moving.)
indigenous;originating in a region;(Some fear that these plants, which are not indigenous to the region, may choke out the vegetation that is native to the area.)
indigent;very poor, impoverished;(I would rather donate money to help the indigent population than to the park sculpture fund.)
indignation; anger sparked by something unjust or unfair;(I resigned from the sorority because of my indignation at its hazing of new members.);
indolent;lazy;(Why should my indolent children, who can’t even pick themselves up off the couch to pour their own juice, be rewarded with a trip to the mall?)
indomitable;not capable of being conquered;(To be honest, Jim, my indomitable nature means I could never take orders from anyone, and especially not from a jerk like you.)
induce;to bring about, stimulate;(Who knew that our decision to boycott school lunch would induce a huge riot?)
ineffable;unspeakable, incapable of being expressed through words;(It is said that the experience of playing with a dolphin is ineffable and can only be understood through direct encounter.)
inept;not suitable or capable, unqualified;(She proved how inept she was when she forgot three orders and spilled a beer in a customer’s lap.)
inexorable;incapable of being persuaded or placated;(Although I begged for hours, Mom was inexorable and refused to let me stay out all night after the prom.)
inextricable;hopelessly tangled or entangled;(Unless I look at the solution manual, I have no way of solving this inextricable problem.)
infamy;notoriety, extreme ill repute;(The infamy of his crime will not lessen as the decades pass.)
infusion; an injection of one substance into another;the permeation of one substance by another;(The infusion of Eastern religion into Western philosophy created interesting new schools of thought.)
ingenious;clever, resourceful;(Her ingenious use of walnuts instead of the peanuts called for by the recipe was lauded by the other garden club members who found her cake delicious.)
ingenuous;not devious;innocent and candid
inhibit;to prevent, restrain, stop;(When I told you I needed the car last night, I certainly never meant to inhibit you from going out.)
inimical;hostile, enemylike;(I don’t see how I could ever work for a company that was so cold and inimical to me during my interviews.)
iniquity;wickedness or sin;(“Your iniquity,” said the priest to the practical jokester, “will be forgiven.”)
injunction;an order of official warning;(After his house was toilet-papered for the fifth time, the mayor issued an injunction against anyone younger than 21 buying toilet paper.)
innate;inborn, native, inherent;(His incredible athletic talent is innate, he never trains, lifts weights, or practices.)
innocuous;harmless, inoffensive;(In spite of their innocuous appearance, these mushrooms are actually quite poisonous.)
innovate;to do something in an unprecedented way;(Because of the stiff competition, the company knew it needed to pour a lot of energy into innovating new and better products.)
innuendo;an insinuation;(During the debate, the politician made several innuendos about the sexual activities of his opponent.)
inoculate;to introduce a microorganism, serum, or vaccine into an organism in order to increase immunity to illness;to vaccinate
inquisitor;one who inquires, especially in a hostile manner;(The inquisitor was instructed to knock on every door in town in order to find the fugitive.)
insatiable; incapable of being satisfied;(My insatiable appetite for melons can be a real problem in the winter.);
insidious;appealing but imperceptibly harmful, seductive;(Lisa’s insidious chocolate cake tastes so good but makes you feel so sick later on!)
insipid;dull, boring;(The play was so insipid, I fell asleep halfway through.)
insolent;rude, arrogant, overbearing;(That celebrity is so insolent, making fun of his fans right to their faces.)
instigate;to urge, goad;(The demagogue instigated the crowd into a fury by telling them that they had been cheated by the federal government.)
insular;separated and narrow-minded;tight-knit, closed off
insinuate; to suggest indirectly or subtly;(I wish Luke and Spencer would stop insinuating that my perfect report card is the result of anything other than my superior intelligence and good work habits.);
insurgent; one who rebels;(The insurgent snuck into and defaced a different classroom each night until the administration agreed to meet his demands.);
integral;necessary for completeness;(Without the integral ingredient of flour, you wouldn’t be able to make bread.)
interject;to insert between other things;(During our conversation, the cab driver occasionally interjected his opinion.)
interlocutor;someone who participates in a dialogue or conversation;(When the officials could not come to an agreement over the correct cover of the flags, the prime minister acted as an interlocutor.)
interminable; without possibility of end;(The fact that biology lectures came just before lunch made them seem interminable.);
intimation; an indirect suggestion;(Mr. Brinford’s intimation that he would soon pass away occurred when he began to discuss how to distribute his belongings among his children.);
intractable;difficult to manipulate, unmanageable;(There was no end in sight to the intractable conflict between the warring countries.)
intransigent;refusing to compromise, often on an extreme opinion;(The intransigent child said he would have 12 scoops of ice cream, or he would bang his head against the wall until his mother fainted from fear.)
intrepid;brave in the face of danger;(After scaling a live volcano prior to its eruption, the explorer was praised for his intrepid attitude.)
inundate;to flood with abundance;(Because I am the star of a new sitcom, my fans are sure to inundate me with fan mail and praise.)
inure; to cause someone or something to become accustomed to a situation;(Twenty years in the salt mines inured the man to the discomforts of dirt and grime.);
invective; an angry verbal attack;(My mother’s irrational invective against the way I dress only made me decide to dye my hair green.);
inveterate; stubbornly established by habit;(I’m the first to admit that I’m an inveterate coffee drinker—I drink four cups a day.);
inviolable; secure from assault;(Nobody was ever able to break into Batman’s inviolable Batcave.);
irascible;easily angered;(At the smallest provocation, my irascible cat will begin scratching and clawing.)
iridescent; showing rainbow colors;(The bride’s large diamond ring was iridescent in the afternoon sun.);
irreverence; disrespect;(The irreverence displayed by the band that marched through the chapel disturbed many churchgoers.);
irrevocable; incapable of being taken back;(The Bill of Rights is an irrevocable part of American law.);
jubilant;extremely joyful, happy;(The crowd was jubilant when the firefighter carried the woman from the flaming building.)
judicious;having or exercising sound judgment;(When the judicious king decided to compromise rather than send his army to its certain death, he was applauded.)
juxtaposition; the act of placing two things next to each other for implicit comparison;(The interior designer admired my juxtaposition of the yellow couch and green table.);
knell;the solemn sound of a bell, often indicating a death;(Echoing throughout our village, the funeral knell made the stormy day even more grim.)
kudos;praise for an achievement;(After the performance, the reviewers gave the opera singer kudos for a job well done.)
laconic; terse in speech or writing;(The author’s laconic style has won him many followers who dislike wordiness.);
languid;sluggish from fatigue or weakness;(In the summer months, the great heat makes people languid and lazy.)
larceny;obtaining another’s property by theft or trickery;(When my car was not where I had left it, I realized that I was a victim of larceny.)
largess; the generous giving of lavish gifts;(My boss demonstrated great largess by giving me a new car.);
laceration;a cut, tear;(Because he fell off his bike into a rosebush, the paperboy’s skin was covered with lacerations.)
latent;hidden, but capable of being exposed;(Sigmund’s dream represented his latent paranoid obsession with other people’s shoes.)
laudatory; expressing admiration or praise;(Such laudatory comments are unusual from someone who is usually so reserved in his opinions.);
legerdemain;deception, slight-of-hand;(Smuggling the French plants through customs by claiming that they were fake was a remarkable bit of legerdemain.)
lenient;demonstrating tolerance or gentleness;(Because Professor Oglethorpe allowed his students to choose their final grades, the other teachers believed that he was excessively lenient.)
lethargic;in a state of sluggishness or apathy;(When Jean Claude explained to his boss that he was lethargic and didn’t feel like working that day, the boss fired him.)
libertarian; advocating principles of liberty and free will;(The dissatisfied subjects overthrew the monarch and replaced him with a libertarian ruler who respected their democratic principles.);
licentious; displaying a lack of moral or legal restraints;(Marilee has always been fascinated by the licentious private lives of politicians.);
limpid;clear, transparent;(Mr. Johnson’s limpid writing style greatly pleased readers who disliked complicated novels.)
linchpin;something that holds separate parts together;(The linchpin in the prosecution’s case was the hair from the defendant’s head, which was found at the scene of the crime.)
lithe;graceful, flexible, supple;(Although the dancers were all outstanding, Jae Sun’s control of her lithe body was particularly impressive.)
litigant;someone engaged in a lawsuit;(When the litigants began screaming at each other, Judge Koch ordered them to be silent.)
lucid;clear, easily understandable;(Because Guenevere’s essay was so lucid, I only had to read it once to understand her reasoning.)
luminous; brightly shining;(The light of the luminous moon graced the shoulders of the beautiful maiden.);
lurid;ghastly, sensational;(Gideon’s story, in which he described a character torturing his sister’s dolls, was judged too lurid to be printed in the school’s literary magazine.)
maelstrom; a destructive whirlpool which rapidly sucks in objects;(Little did the explorers know that as they turned the next bend of the calm river a vicious maelstrom would catch their boat.);
magnanimous;noble, generous;(Although I had already broken most of her dishes, Jacqueline was magnanimous enough to continue letting me use them.)
malediction;a curse;(When I was arrested for speeding, I screamed maledictions against the policeman and the entire police department.)
malevolent;wanting harm to befall others;(The malevolent old man sat in the park all day, tripping unsuspecting passersby with his cane.)
malleable; capable of being shaped or transformed;(Maximillian’s political opinions were so malleable that anyone he talked to was able to change his mind instantly.);
mandate;an authoritative command;(In the Old Testament, God mandates that no one should steal.)
manifold;diverse, varied;(The popularity of Dante’s Inferno is partly due to the fact that the work allows for manifold interpretations.)
maudlin;weakly sentimental;(Although many people enjoy romantic comedies, I usually find them maudlin and shallow.)
maverick;an independent, nonconformist person;(Andreas is a real maverick and always does things his own way.)
mawkish;characterized by sick sentimentality;(Although some nineteenthcentury critics viewed Dickens’s writing as mawkish, contemporary readers have found great emotional depth in his works.)
maxim; a common saying expressing a principle of conduct;(Miss Manners’s etiquette maxims are both entertaining and instructional.);
meager; deficient in size or quality;(My meager portion of food did nothing to satisfy my appetite.);
medley;a mixture of differing things;(Susannah’s wardrobe contained an astonishing medley of colors, from olive green to fluorescent pink.)
mendacious;having a lying, false character;(The mendacious content of the tabloid magazines is at least entertaining.)
mercurial;characterized by rapid change or temperamentality;(Though he was widely respected for his mathematical proofs, the mercurial genius was impossible to live with.)
meritorious; worthy of esteem or reward;(Manfred was given the congressional medal of honor for his meritorious actions.);
metamorphosis;the change of form, shape, substance;(Winnifred went to the gym every day for a year and underwent a metamorphosis from a waiflike girl to an athletic woman.)
meticulous; extremely careful with details;(The ornate needlework in the bride’s gown was a product of meticulous handiwork.);
mitigate;to make less violent, alleviate;(When I had an awful sore throat, only warm tea would mitigate the pain.)
modicum;a small amount of something;(Refusing to display even a modicum of sensitivity, Henrietta announced her boss’s affair in front of the entire office.)
modulate;to pass from one state to another, especially in music;(The composer wrote a piece that modulated between minor and major keys.)
mollify; to soften in temper;(The police officer mollified the angry woman by giving her a warning instead of a ticket.);
morass;a wet swampy bog;figuratively, something that traps and confuses
mores; the moral attitudes and fixed customs of a group of people.;(Mores change over time;many things that were tolerated in 1975 are no longer seen as being socially acceptable.)
morose; gloomy or sullen;(Jason’s morose nature made him very unpleasant to talk to.);
multifarious;having great diversity or variety;(This Swiss Army knife has multifarious functions and capabilities. Among other things, it can act as a knife, a saw, a toothpick, and a slingshot.)
